movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,production_budget,worldwide_gross,release_date
tt1907668,flight,2012,138.0,"Drama,Thriller",7.3,303009,Par.,93800000.0,68000000.0,31000000.0,160558438.0,2012-11-02
tt1911644,the call,2013,94.0,"Crime,Drama,Horror",6.7,103780,TriS,51900000.0,16700000.0,12800000.0,69821476.0,2013-03-15
tt2926868,the call,2013,25.0,Documentary,7.9,12,TriS,51900000.0,16700000.0,12800000.0,69821476.0,2013-03-15
tt4741754,the call,2014,109.0,Thriller,6.6,5,TriS,51900000.0,16700000.0,12800000.0,69821476.0,2013-03-15
tt1911658,penguins of madagascar,2014,92.0,"Adventure,Animation,Comedy",6.7,72551,Fox,83400000.0,289700000.0,132000000.0,366942531.0,2014-11-26
tt1915581,magic mike,2012,110.0,"Comedy,Drama",6.1,123955,WB,113700000.0,53500000.0,7000000.0,170549753.0,2012-06-29
tt1920849,bachelorette,2012,87.0,"Comedy,Romance",5.3,43131,RTWC,448000.0,11500000.0,3000000.0,12577401.0,2012-09-07
tt1921064,pompeii,2014,105.0,"Action,Adventure,Drama",5.5,100467,TriS,23200000.0,94600000.0,80000000.0,108469033.0,2014-02-21
tt1922777,sinister,2012,110.0,"Horror,Mystery,Thriller",6.8,198345,LG/S,48100000.0,29600000.0,3000000.0,87727807.0,2012-10-12
tt1929263,heaven is for real,2014,99.0,"Biography,Drama,Family",5.8,24267,TriS,91400000.0,9900000.0,12000000.0,100916299.0,2014-04-16
tt1931435,the big wedding,2013,89.0,"Comedy,Drama,Romance",5.6,44221,LGF,21800000.0,24700000.0,32500000.0,48425971.0,2013-04-26
tt1931533,seven psychopaths,2012,110.0,"Comedy,Crime",7.2,223493,CBS,15000000.0,4400000.0,13500000.0,33035736.0,2012-10-12
tt1935179,mud,2012,130.0,Drama,7.4,156786,RAtt.,21600000.0,11000000.0,10000000.0,31556959.0,2013-04-26
tt2514592,mud,2012,105.0,Drama,6.5,41,RAtt.,21600000.0,11000000.0,10000000.0,31556959.0,2013-04-26
tt1943765,morgan,2012,89.0,"Drama,Romance",6.8,1232,Fox,3900000.0,4900000.0,8000000.0,7298786.0,2016-09-02
tt4520364,morgan,2016,92.0,"Action,Horror,Sci-Fi",5.8,35487,Fox,3900000.0,4900000.0,8000000.0,7298786.0,2016-09-02
tt1945037,begin again,2013,68.0,"Drama,Family",7.0,57,Wein.,16200000.0,47300000.0,8000000.0,68838736.0,2014-06-27
tt1980929,begin again,2013,104.0,"Comedy,Drama,Music",7.4,129884,Wein.,16200000.0,47300000.0,8000000.0,68838736.0,2014-06-27
tt1951181,the immigrant,2013,120.0,"Drama,Romance",6.6,26618,Wein.,2000000.0,3800000.0,16000000.0,7585011.0,2014-05-16
tt1951264,the hunger games: catching fire,2013,146.0,"Action,Adventure,Sci-Fi",7.5,575455,LGF,424700000.0,440300000.0,130000000.0,864868047.0,2013-11-22
tt1951265,the hunger games: mockingjay - part 1,2014,123.0,"Action,Adventure,Sci-Fi",6.6,379050,LGF,337100000.0,418200000.0,125000000.0,766575131.0,2014-11-21
tt1951266,the hunger games: mockingjay - part 2,2015,137.0,"Action,Adventure,Sci-Fi",6.6,252384,LGF,281700000.0,371700000.0,160000000.0,648986787.0,2015-11-20
